city_name,lat,lng,max_temp,hum,cloud,wind_speed,country_code,date
Bath,51.38,-2.36,53.01,76,95,5.01,GB,10/23/2020
Departamento de Maldonado,-34.67,-54.92,71.6,78,40,4.7,UY,10/23/2020
Gusinoye Ozero,51.11,106.26,31.82,94,3,3.29,RU,10/23/2020
Atikokan,48.76,-91.62,31.41,90,89,6.26,CA,10/23/2020
Gudāri,19.35,83.78,73.35,84,98,2.1,IN,10/23/2020
Santa Isabel Rio Negro,-0.41,-65.02,94.82,48,76,2.64,BR,10/23/2020
Tsimmerbude,54.67,20.13,53.6,81,75,8.95,RU,10/23/2020
Abu Samrah,35.3,37.18,76.53,19,0,9.28,SY,10/23/2020
Broome,42.25,-75.83,73,77,1,8.05,US,10/23/2020
Sunnyside,46.32,-120.01,28.4,86,40,2.35,US,10/23/2020
Nanchong,30.8,106.08,66.99,62,91,3.18,CN,10/23/2020
Alyangula,-13.85,136.42,82.4,78,54,8.05,AU,10/23/2020
Bambous Virieux,-20.34,57.76,75.2,69,75,10.29,MU,10/23/2020
Tuatapere,-46.13,167.68,54,75,73,7,NZ,10/23/2020
Mount Gambier,-37.83,140.77,50,87,40,13.87,AU,10/23/2020
Yulara,-25.24,130.99,64.4,55,0,10.29,AU,10/23/2020
Palu,-0.89,119.87,76.8,81,26,2.51,ID,10/23/2020
Salta,-24.79,-65.41,80.6,51,75,11.41,AR,10/23/2020
Laguna,38.42,-121.42,57,43,1,6.11,US,10/23/2020
Vao,-22.67,167.48,73.56,87,5,17.83,NC,10/23/2020
Sola,-13.88,167.55,78.37,86,79,19.53,VU,10/23/2020
Ortaköy,38.74,34.04,71.6,28,40,3.36,TR,10/23/2020
Zhigansk,66.77,123.37,25.57,96,100,35.37,RU,10/23/2020
Almaznyy,48.04,40.05,60.8,77,0,11.18,RU,10/23/2020
Kavaratti,10.57,72.64,81.46,73,97,14.9,IN,10/23/2020
Portland,45.52,-122.68,42.01,86,75,3.36,US,10/23/2020
Salalah,17.02,54.09,82.4,74,0,3.36,OM,10/23/2020
Myszków,50.58,19.32,57.2,71,0,3.36,PL,10/23/2020
Sechura,-5.56,-80.82,73.9,58,9,9.73,PE,10/23/2020
Santa Barbara,34.73,-120.03,61,82,1,4.59,US,10/23/2020
Pointe-Noire,-4.78,11.86,80.6,83,75,11.41,CG,10/23/2020
Tiarei,-17.53,-149.33,73.4,83,75,2.24,PF,10/23/2020
Palmer,42.16,-72.33,64.99,100,90,4.7,US,10/23/2020
La Palma,33.85,-118.05,69.01,68,90,4.65,US,10/23/2020
Henties Bay,-22.12,14.28,64.99,80,72,9.15,NA,10/23/2020
Ishigaki,24.34,124.16,73.17,73,94,25.57,JP,10/23/2020
Skagen,57.72,10.58,52,74,1,7,DK,10/23/2020
Concordia,-31.39,-58.02,73.4,83,90,11.41,AR,10/23/2020
Mazagão,-0.12,-51.29,93.2,56,40,13.87,BR,10/23/2020
Pandan Niog,6.23,120.56,83.43,75,98,5.1,PH,10/23/2020
High Level,58.52,-117.14,17.6,92,75,2.24,CA,10/23/2020
Goderich,43.75,-81.72,71.01,80,50,14,CA,10/23/2020
Lagoa,39.05,-27.98,65.5,79,17,17.6,PT,10/23/2020
Matara,5.95,80.54,79,86,10,9.62,LK,10/23/2020
La Seyne-sur-Mer,43.1,5.88,66,85,100,5.01,FR,10/23/2020
Sindal,57.47,10.2,51.01,92,19,1.01,DK,10/23/2020
Colares,38.8,-9.45,66,59,20,9.17,PT,10/23/2020
Jérémie,18.65,-74.12,82.51,71,93,4.7,HT,10/23/2020
Capão da Canoa,-29.75,-50.01,69.69,86,100,18.75,BR,10/23/2020
Anbu,23.45,116.68,73.4,43,0,6.71,CN,10/23/2020
Narsaq,60.92,-46.05,28.4,63,75,1.12,GL,10/23/2020
Phuket,8,98.25,75.2,100,75,1.12,TH,10/23/2020
Peniche,39.36,-9.38,66,66,26,4,PT,10/23/2020
Constantine,36.37,6.61,78.8,41,0,10.29,DZ,10/23/2020
Sobolevo,54.43,31.9,51.93,90,52,10.92,RU,10/23/2020
Omsukchan,62.53,155.8,19.15,88,48,6.06,RU,10/23/2020
Yarmouth,41.71,-70.23,66.2,59,1,8.25,US,10/23/2020
Naze,28.37,129.48,69.8,64,75,17.22,JP,10/23/2020
Homer,59.64,-151.55,41,86,90,7.9,US,10/23/2020
Bilma,18.69,12.92,91.49,12,0,5.06,NE,10/23/2020
Anadyr,64.75,177.48,24.8,92,75,6.71,RU,10/23/2020
Iskateley,67.68,53.15,20.89,96,85,8.95,RU,10/23/2020
Mīzan Teferī,6.98,35.58,64.18,90,39,1.01,ET,10/23/2020
Odesskoye,54.21,72.97,28.6,90,96,9.64,RU,10/23/2020
Kenai,60.55,-151.26,37,59,90,9.17,US,10/23/2020
Ossora,59.24,163.07,36.97,79,0,3.27,RU,10/23/2020
Muros,42.78,-9.06,62.01,77,93,8.01,ES,10/23/2020
West Bay,19.37,-81.42,82,94,40,18.57,KY,10/23/2020
Antequera,37.02,-4.56,73.99,60,40,10.29,ES,10/23/2020
Huarmey,-10.07,-78.15,69.12,67,93,10.94,PE,10/23/2020
Sawākin,19.11,37.33,84.18,66,0,6.85,SD,10/23/2020
Xining,36.62,101.77,45.82,53,91,2.13,CN,10/23/2020
Saint Lawrence,36.06,14.2,71.01,68,20,4.7,MT,10/23/2020
Ise,34.48,136.7,57.99,78,0,7,JP,10/23/2020
Egvekinot,66.32,-179.17,24.58,95,2,10.69,RU,10/23/2020
Jacareacanga,-6.22,-57.75,94.73,44,73,3.74,BR,10/23/2020
Norman Wells,65.28,-126.83,19.4,92,90,2.24,CA,10/23/2020
Tilichiki,60.47,166.1,29.98,96,0,5.08,RU,10/23/2020
Sur,22.57,59.53,78.17,61,0,8.55,OM,10/23/2020
Syamzha,60.02,41.06,43.34,97,100,6.44,RU,10/23/2020
Ambon City,-3.7,128.18,78.01,88,20,6.93,ID,10/23/2020
Clarence Town,-32.58,151.78,70,83,100,10.29,AU,10/23/2020
Mount Isa,-20.73,139.5,69.8,77,25,5.82,AU,10/23/2020
Ulundi,-28.34,31.42,73.53,68,0,8.1,ZA,10/23/2020
Elliot Lake,46.38,-82.63,42.8,100,90,12.75,CA,10/23/2020
Akdepe,42.06,59.38,55.4,50,0,6.93,TM,10/23/2020
Manado,1.49,124.85,75.2,94,20,2.24,ID,10/23/2020
Kachīry,53.07,76.1,33.94,79,100,8.63,KZ,10/23/2020
Arrifes,37.77,-25.7,68,68,20,12.75,PT,10/23/2020
Malartic,48.13,-78.13,35.6,100,90,9.17,CA,10/23/2020
Barcelos,41.54,-8.62,62.6,72,0,8.05,PT,10/23/2020
Nanortalik,60.14,-45.24,35.51,81,100,5.99,GL,10/23/2020
Puri,19.8,85.85,80.6,94,40,4.7,IN,10/23/2020
Pemangkat,1.17,108.97,80.78,78,100,3.51,ID,10/23/2020
Tual,-5.67,132.75,82.2,82,70,9.01,ID,10/23/2020
Wanning,18.8,110.4,72.81,63,100,15.75,CN,10/23/2020
Cockburn Town,21.46,-71.14,82.62,80,27,18.9,TC,10/23/2020
Noumea,-22.28,166.46,75.2,69,0,3.36,NC,10/23/2020
Gurupá,-1.41,-51.64,94.23,45,18,4.68,BR,10/23/2020
Khuzhir,53.19,107.34,39.29,73,0,2.3,RU,10/23/2020
Dipalpur,30.67,73.65,74.23,20,0,5.48,PK,10/23/2020
Pampa,35.54,-100.96,35.6,74,90,20.8,US,10/23/2020
Chhor,25.52,69.77,87.67,13,0,10.29,PK,10/23/2020
Dumraon,25.55,84.15,78.13,63,14,5.01,IN,10/23/2020
Qinhuangdao,39.93,119.59,46.45,50,0,2.42,CN,10/23/2020
Kumul,42.8,93.45,48.96,41,1,2.19,CN,10/23/2020
Bara,10.37,10.73,92.14,28,2,4.5,NG,10/23/2020
Kattivākkam,13.22,80.32,80.6,88,75,2.24,IN,10/23/2020
Jimeta,9.28,12.47,93.15,35,88,3.44,NG,10/23/2020
Carlisle,40.2,-77.19,68,77,90,5.82,US,10/23/2020
Tarko-Sale,64.92,77.78,17.15,97,86,10.6,RU,10/23/2020
Mandiana,10.63,-8.68,91.51,40,6,6.82,GN,10/23/2020
Staszów,50.56,21.17,57,74,98,1.99,PL,10/23/2020
Krasnosel'kup,65.7,82.47,13.55,96,92,8.34,RU,10/23/2020
Camaná,-16.62,-72.71,68.59,66,63,10.38,PE,10/23/2020
Jiayuguan City,39.82,98.3,40.23,57,16,0.31,CN,10/23/2020
Mossamedes,-15.2,12.15,70.97,82,75,14.72,AO,10/23/2020
Gusev,54.59,22.2,50.95,82,71,7.14,RU,10/23/2020
College,64.86,-147.8,18,84,1,3.36,US,10/23/2020
Port Augusta,-32.5,137.77,57.2,87,90,23.04,AU,10/23/2020
Nerchinskiy Zavod,51.31,119.61,27.19,90,0,1.97,RU,10/23/2020
Laas,46.62,10.7,53.01,100,90,3.36,IT,10/23/2020
Shingū,33.73,135.98,52.97,81,0,6.35,JP,10/23/2020
Birao,10.28,22.79,85.21,41,55,0.94,CF,10/23/2020
Bereket,39.24,55.52,55.89,45,33,2.89,TM,10/23/2020
Auki,-8.77,160.7,77.11,83,87,3.69,SB,10/23/2020
Batī,11.18,40.02,72.23,30,90,2.84,ET,10/23/2020
Ixtapa,20.7,-105.2,84.2,83,40,3.36,MX,10/23/2020
Lodja,-3.48,23.43,76.66,90,77,2.33,CD,10/23/2020
Dudinka,69.41,86.18,-2.2,84,40,11.18,RU,10/23/2020
Rocha,-34.48,-54.33,68.45,84,99,4.41,UY,10/23/2020
Kiruna,67.86,20.23,26.6,79,91,13.87,SE,10/23/2020
Ormara,25.21,64.64,82.62,36,0,10.58,PK,10/23/2020
Pundaguitan,6.37,126.17,82.17,77,100,7.72,PH,10/23/2020
Wewak,-3.55,143.63,79.05,79,76,4.23,PG,10/23/2020
Njinikom,6.23,10.28,69.42,90,77,2.46,CM,10/23/2020
Rabūpura,28.25,77.6,82.99,38,0,4.92,IN,10/23/2020
Wawa,9.9,4.42,90.05,36,30,2.84,NG,10/23/2020
Teknāf,20.86,92.31,80.33,88,100,18.03,BD,10/23/2020
Staryy Nadym,65.61,72.68,17.62,97,85,10.45,RU,10/23/2020
Graaff-Reinet,-32.25,24.53,84.99,36,77,5.01,ZA,10/23/2020
Ekhabi,53.51,142.97,46.78,95,100,28.74,RU,10/23/2020
Santiago,-33.46,-70.65,79,46,3,4.7,CL,10/23/2020
Les Cayes,18.2,-73.75,82.47,80,100,12.37,HT,10/23/2020
Methven,-43.63,171.65,46,97,81,7,NZ,10/23/2020
Uglovskoye,51.36,80.19,34.83,77,88,2.71,RU,10/23/2020
Udachny,66.42,112.4,23,67,90,15.66,RU,10/23/2020
Hamilton,39.18,-84.53,75,78,75,9.17,US,10/23/2020
Verkhnyaya Inta,65.98,60.31,22.84,97,99,12.03,RU,10/23/2020
Villa Carlos Paz,-31.42,-64.5,69.01,86,99,2.98,AR,10/23/2020
Dilla,6.41,38.31,63.91,79,31,4.5,ET,10/23/2020
Roquetas de Mar,36.76,-2.61,69.8,60,20,19.46,ES,10/23/2020
Kayes,14,-11,102.2,27,0,4.7,ML,10/23/2020
Jining,35.41,116.58,48.85,44,0,4.59,CN,10/23/2020
Creston,41.06,-94.36,35.6,100,90,20.8,US,10/23/2020
Jackson,42.42,-122.83,35.6,74,1,1.3,US,10/23/2020
Sangar,63.92,127.47,19.58,93,100,19.69,RU,10/23/2020
Maïné Soroa,13.21,12.02,96.28,10,18,13.98,NE,10/23/2020
Kloulklubed,7.04,134.26,78.8,88,75,8.43,PW,10/23/2020
Traverse City,44.76,-85.62,46.4,87,90,10.29,US,10/23/2020
San Policarpo,12.18,125.51,79.61,84,100,5.01,PH,10/23/2020
Burns Lake,54.23,-125.75,20.16,94,100,5.06,CA,10/23/2020
Coquimbo,-29.95,-71.34,53.6,87,90,6.93,CL,10/23/2020
Predivinsk,57.07,93.44,36.77,82,100,8.19,RU,10/23/2020
Muriwai Beach,-36.82,174.45,60.01,95,64,4.74,NZ,10/23/2020
Isangel,-19.55,169.27,74.95,82,100,13.33,VU,10/23/2020
Pakruojis,55.97,23.87,53.6,81,75,8.05,LT,10/23/2020
Kofelē,7.07,38.78,53.74,83,69,1.03,ET,10/23/2020
Bowen,-20.02,148.23,71.6,88,100,1.41,AU,10/23/2020
Mangit,40.6,70.96,48.2,76,99,6.93,UZ,10/23/2020
Kungurtug,50.6,97.52,33.84,80,100,1.95,RU,10/23/2020
Litovko,49.24,135.17,37.13,82,100,11.54,RU,10/23/2020
Kyritz,52.94,12.4,55.99,92,88,3.58,DE,10/23/2020
Hābra,22.83,88.63,75.2,94,75,4.7,IN,10/23/2020
Vila Velha,-20.33,-40.29,79,69,20,8.05,BR,10/23/2020
Salina,38.84,-97.61,37.99,74,90,18.34,US,10/23/2020
Galesong,-5.32,119.37,77,100,20,1.12,ID,10/23/2020
Tirlyanskiy,54.21,58.58,23.81,93,59,1.99,RU,10/23/2020
Ipojuca,-8.4,-35.06,86,66,40,14.99,BR,10/23/2020
Plaeng Yao,13.58,101.28,84.99,69,20,5.82,TH,10/23/2020
Farafangana,-22.82,47.83,73.42,82,0,9.17,MG,10/23/2020
Thai Binh,20.45,106.33,71.6,83,0,2.24,VN,10/23/2020
