city_name,lat,lng,max_temp,hum,cloud,wind_speed,country_code,date
Geraldton,-28.77,114.6,66.2,63,0,12.75,AU,10/23/2020
Kūdligi,14.9,76.38,74.08,82,85,8.14,IN,10/23/2020
Kaitangata,-46.28,169.85,49.6,93,97,4.27,NZ,10/23/2020
Ambulu,-8.35,113.61,76.57,88,31,2.98,ID,10/23/2020
Katsuura,35.13,140.3,64.4,59,40,12.75,JP,10/23/2020
Kapaa,22.08,-159.32,70,79,10,8.01,US,10/23/2020
Inuvik,68.35,-133.72,28.4,92,90,4.7,CA,10/23/2020
Alofi,-19.06,-169.92,73.4,100,100,9.17,NU,10/23/2020
Del Rio,29.36,-100.9,80.6,69,75,10.29,US,10/23/2020
Kudahuvadhoo,2.67,72.89,82.81,78,0,11.45,MV,10/23/2020
Bluff,-46.6,168.33,54,75,95,7,NZ,10/23/2020
Qui Nhon,13.77,109.23,73.58,77,100,8.52,VN,10/23/2020
Faanui,-16.48,-151.75,78.53,76,79,10.69,PF,10/23/2020
Jutaí,-5.18,-68.9,84.27,79,80,1.59,BR,10/23/2020
Skjervøy,70.03,20.97,37.4,91,75,17.22,NO,10/23/2020
Oshikango,-17.4,15.88,102.2,12,0,2.24,NA,10/23/2020
New Norfolk,-42.78,147.06,54,84,100,1.01,AU,10/23/2020
Rawson,-43.3,-65.1,79.54,25,38,12.77,AR,10/23/2020
Castro,-24.79,-50.01,74.3,61,43,5.44,BR,10/23/2020
North Bend,43.41,-124.22,45,93,1,3.36,US,10/23/2020
Talnakh,69.49,88.4,-2.2,84,40,11.18,RU,10/23/2020
Pathein,16.78,94.73,76.3,93,28,3.96,MM,10/23/2020
Port Moresby,-9.44,147.18,76.24,90,99,2.89,PG,10/23/2020
Kapit,2.02,112.93,74.03,94,100,2.19,MY,10/23/2020
Hithadhoo,-0.6,73.08,82.83,77,0,12.1,MV,10/23/2020
Yaan,7.38,8.57,83.19,79,93,5.57,NG,10/23/2020
Biscarrosse,44.39,-1.17,62.6,77,49,11.41,FR,10/23/2020
Husavik,66.04,-17.34,42.8,70,75,20.8,IS,10/23/2020
Trincomalee,8.57,81.23,81,76,0,12.21,LK,10/23/2020
Jamestown,42.1,-79.24,71.01,68,1,10.29,US,10/23/2020
Saldanha,-33.01,17.94,69.8,64,33,5.82,ZA,10/23/2020
Olafsvik,64.89,-23.71,43.21,73,100,36.64,IS,10/23/2020
Wuning,29.26,120.23,49.33,75,0,2.1,CN,10/23/2020
Kruisfontein,-34,24.73,73,72,0,10,ZA,10/23/2020
Saint George,37.1,-113.58,57,27,1,2.84,US,10/23/2020
George Town,5.41,100.34,82,83,40,2.24,MY,10/23/2020
Alice Springs,-23.7,133.88,68,49,0,9.17,AU,10/23/2020
Aykhal,66,111.5,23,67,90,15.66,RU,10/23/2020
Lüderitz,-26.65,15.16,64.29,70,7,5.12,NA,10/23/2020
Ndélé,8.41,20.65,78.39,79,87,1.45,CF,10/23/2020
Pisco,-13.7,-76.22,66.99,77,40,10.29,PE,10/23/2020
Aksarka,66.56,67.8,14.81,94,41,8.63,RU,10/23/2020
Esperance,-33.87,121.9,53.6,100,90,5.82,AU,10/23/2020
Trelew,-43.25,-65.31,84.99,19,41,14.09,AR,10/23/2020
Haines Junction,60.75,-137.51,16,88,0,1.03,CA,10/23/2020
Hilo,19.73,-155.09,71.6,78,1,4.7,US,10/23/2020
Sidi Ali,36.1,0.42,66.78,70,100,7.14,DZ,10/23/2020
Hobyo,5.35,48.53,81.91,78,96,20.56,SO,10/23/2020
Nome,64.5,-165.41,33.8,43,1,11.41,US,10/23/2020
Elizabethton,36.35,-82.21,73.4,60,1,1.77,US,10/23/2020
Upernavik,72.79,-56.15,21.49,95,100,8.08,GL,10/23/2020
Hong Kong,22.29,114.16,75.99,46,100,1.01,HK,10/23/2020
Gornopravdinsk,60.05,69.9,17.76,96,2,3.36,RU,10/23/2020
Havøysund,71,24.66,39.2,80,75,29.97,NO,10/23/2020
Ballymena,54.86,-6.28,51.8,71,40,12.75,GB,10/23/2020
Saskylakh,71.92,114.08,20.35,97,100,9.6,RU,10/23/2020
Cidreira,-30.18,-50.21,71.26,80,100,15.37,BR,10/23/2020
